时间,降雨量,时段
2009-05-27 01:00:00,1.4,2
2009-05-27 02:00:00,3.6,1
2009-05-27 03:00:00,4.8,1
2009-05-27 08:00:00,8.0,5
2009-05-27 09:00:00,2.6,1
2009-05-27 10:00:00,1.8,1
2009-05-27 11:00:00,4.2,1
2009-05-27 12:00:00,7.6,1
2009-05-27 13:00:00,9.6,1
2009-05-27 14:00:00,8.8,1
2009-05-27 15:00:00,6.6,1
2009-05-27 16:00:00,5.8,1
2009-05-27 17:00:00,3.4,1
2009-05-27 18:00:00,3.8,1
2009-05-27 20:00:00,2.6,2
2009-05-28 01:00:00,0.2,1
2009-05-28 05:00:00,0.8,3
2009-05-28 07:00:00,0.2,1
2009-05-28 12:00:00,1.2,3
