时间,降雨量,时段
2009-05-27 02:00:00,3.6,3.0
2009-05-27 03:00:00,4.6,1.0
2009-05-27 04:00:00,3.2,1.0
2009-05-27 05:00:00,3.0,1.0
2009-05-27 06:00:00,2.8,1.0
2009-05-27 07:00:00,2.6,1.0
2009-05-27 08:00:00,1.6,1.0
2009-05-27 10:00:00,4.2,2.0
2009-05-27 11:00:00,3.6,1.0
2009-05-27 12:00:00,6.8,1.0
2009-05-27 13:00:00,9.6,1.0
2009-05-27 14:00:00,12.4,1.0
2009-05-27 15:00:00,9.0,1.0
2009-05-27 16:00:00,4.6,1.0
2009-05-27 17:00:00,5.2,1.0
2009-05-27 18:00:00,3.2,1.0
2009-05-27 19:00:00,3.4,1.0
2009-05-27 20:00:00,1.0,1.0
2009-05-27 22:00:00,0.4,2.0
2009-05-28 02:00:00,0.2,1.0
2009-05-28 03:00:00,0.4,1.0
2009-05-28 06:00:00,0.6,2.0
2009-05-28 12:00:00,1.4,3.0
