时间,降雨量,时段
2009-05-27 02:00:00,1.0,2
2009-05-27 08:00:00,6.8,6
2009-05-27 11:00:00,4.6,3
2009-05-27 12:00:00,3.4,1
2009-05-27 13:00:00,5.4,1
2009-05-27 14:00:00,7.6,1
2009-05-27 15:00:00,7.8,1
2009-05-27 16:00:00,6.0,1
2009-05-27 17:00:00,4.0,1
2009-05-27 18:00:00,3.6,1
2009-05-27 19:00:00,3.0,1
2009-05-27 20:00:00,2.6,1
2009-05-28 02:00:00,2.8,6
2009-05-28 08:00:00,2.6,6
2009-05-28 10:00:00,0.8,2
2009-05-28 14:00:00,2.8,3
2009-05-28 15:00:00,0.2,1
