时间,降雨量,时段
2009-05-27 02:00:00,2.4,2
2009-05-27 08:00:00,6.0,6
2009-05-27 10:00:00,0.8,2
2009-05-27 11:00:00,3.2,1
2009-05-27 12:00:00,3.4,1
2009-05-27 13:00:00,9.0,1
2009-05-27 14:00:00,5.2,1
2009-05-27 15:00:00,7.6,1
2009-05-27 16:00:00,5.8,1
2009-05-27 17:00:00,5.4,1
2009-05-27 18:00:00,3.2,1
2009-05-27 19:00:00,3.4,1
2009-05-27 20:00:00,1.8,1
2009-05-28 02:00:00,2.6,6
2009-05-28 03:00:00,0.2,1
2009-05-28 07:00:00,1.0,3
2009-05-28 11:00:00,0.6,3
2009-05-28 12:00:00,2.8,1
2009-05-28 14:00:00,1.2,2
2009-05-28 15:00:00,0.2,1
